代號,名稱,2026 Q3,2026 Q2,2026 Q1,2025 Q4,2025 Q3,2025 Q2,2025 Q1,2024 Q4,2024 Q3,2024 Q2,2024 Q1,2023 Q4,2023 Q3,2023 Q2,2023 Q1,2020 Q4,2020 Q3,2020 Q2,2020 Q1
2308,台達電,-,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,AI1/AI3,AI1,AI1,AI1,-,-,-,-
2317,鴻海,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,AI1/AI3,AI1,AI1,AI1,-,-,-,-
2324,仁寶,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-
2330,台積電,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-,-,-,-,-
2347,聯強,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-
2354,鴻準,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-
2356,英業達,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-,-,-,-,-
2357,華碩,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,AI1/AI3,AI1,AI1,AI1
2376,技嘉,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-
2377,微星,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-
2379,瑞昱,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-
2382,廣達,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-
2395,研華,-,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-
2405,輔信,-,-,AI1,AI1,AI1,AI1,-,AI1,AI1,-,-,-,-,-,-,-,-,-,-
2412,中華電,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-
2451,創見,-,AI1,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-
2454,聯發科,-,AI1,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-
2458,義隆,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-
2474,可成,-,-,AI1,AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-
2480,敦陽科,-,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-
3022,威強電,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-
3026,禾伸堂,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-
3034,聯詠,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-
3045,台灣大,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-
3048,益登,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-
3231,緯創,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-,-,-,-,-
3356,奇偶,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-
4938,和碩,-,-,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-,-,-,-,-,-,-,-,-
5203,訊連,-,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,AI1,-,-,-,-,-,-,-,-,-,-
6214,精誠,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-
6285,啟碁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6462,神盾,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-
9914,美利達,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-
9921,巨大,-,-,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-,-,-,-,-,-,-,-,-
8272,全景軟體,-,-,AI2,AI2,AI2,AI2,AI2,AI2,AI2,AI2,AI2,-,-,-,-,-,-,-,-
8299,群聯,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-
5434,崇越,-,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,AI1,-,-,-,-,-,-,-,-,-,-
6526,達發,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-
2301,光寶科,-,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-
