代號,名稱,2026 Q3,2026 Q2,2026 Q1,2025 Q4,2025 Q3,2025 Q2,2025 Q1,2024 Q4,2024 Q3,2024 Q2,2024 Q1,2023 Q4,2023 Q3,2023 Q2,2023 Q1,2020 Q4,2020 Q3,2020 Q2,2020 Q1,process_timestamp
2405,輔信,-,-,AI1,AI1,AI1,AI1,-,AI1,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2412,中華電,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2451,創見,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2454,聯發科,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2458,義隆,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2474,可成,-,-,AI1,AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2480,敦陽科,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-,2026-07-03T14:34:50.209692+08:00
3022,威強電,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
3026,禾伸堂,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
3034,聯詠,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-,2026-07-03T14:34:50.209692+08:00
3045,台灣大,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
3048,益登,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
3231,緯創,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
3356,奇偶,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
4938,和碩,-,-,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
5203,訊連,-,-,AI1,AI1/AI3,AI1,AI1,AI1,-,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6214,精誠,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6285,啟碁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6462,神盾,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
9914,美利達,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
9921,巨大,-,-,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
8272,全景軟體,-,-,AI2,AI2,AI2,AI2,AI2,AI2,AI2,AI2,AI2,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
8299,群聯,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-,2026-07-03T14:34:50.209692+08:00
5434,崇越,-,-,AI1,AI1/AI3,AI1,AI1,AI1,-,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6526,達發,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2301,光寶科,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
3035,智原,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
5269,祥碩,-,-,AI1,AI1/AI3,AI1,AI1,AI2,-,AI2,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6669,緯穎,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6695,芯鼎,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6561,是方,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
7765,中華資安,-,-,AI2,AI2,AI2,AI2,AI2,AI2,-,AI2,-,AI2,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
3150,鈺寶-創,-,-,AI2,AI2,AI2,AI2,AI2,AI2,AI2,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2646,星宇航空,-,-,AI2,AI2,AI2,AI2,AI2,AI2,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
4953,緯軟,-,-,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6231,系微,-,-,AI1,AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
9917,中保科,-,-,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
3558,神準,-,-,AI1,AI1/AI3,AI1,AI1,AI1,-,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2450,神腦,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2303,聯電,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
7708,全家餐飲,-,-,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6613,朋億,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
7703,銳澤,-,-,AI1,AI1/AI3,AI1,AI1,AI1,-,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2353,宏碁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
3158,嘉實,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6035,悠遊卡,-,-,-,-,-,AI2,-,AI2,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
7722,LINEPAY,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,AI2,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
5904,寶雅,-,-,AI2,AI2,AI2,AI2,AI2,-,AI2,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6182,合晶,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6962,奕力-KY,-,-,AI1,AI1,AI1,-,AI1,-,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
7705,三商餐飲,-,-,AI1,AI1,AI1,AI1,AI1,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
3014,聯陽,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6720,久昌,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6757,台灣虎航,-,-,AI2,AI2,AI2,AI2,AI2,AI2,AI2,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
7794,宏碁智新,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6996,力領科技,-,-,AI2,AI2,AI2,AI2,AI2,AI2,AI2,AI2,AI2,AI2,-,AI2,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
8016,矽創,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
8045,達運光電,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
7704,明遠精密,-,-,AI1,AI1,AI1,AI1,AI1,-,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6997,博弘,-,-,AI1,AI1/AI3,AI1,AI1,AI1,-,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
4749,新應材,-,-,AI1,AI1,AI1,AI1,AI1,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
7747,昕奇雲端,-,-,AI1,AI1,AI1,AI1,AI1,AI1,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6123,上奇,-,-,AI1,AI1,AI1,AI1,AI1,-,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6425,易發,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
7712,博盛半導體,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6811,宏碁資訊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
3029,零壹,-,-,AI1,AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6690,安碁資訊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6763,綠界科技,-,-,AI1,AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6751,智聯服務,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6442,光聖,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
8454,富邦媒,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2332,友訊,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
7805,威聯通,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
5536,聖暉,-,-,AI1,AI1/AI3,AI1,AI1,AI1,-,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6125,廣運,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2359,所羅門,-,-,AI1,AI1/AI3,AI1,AI1,-,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6506,雙邦,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
3293,鈊象,-,-,AI1,AI1,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
5274,信驊,-,-,AI1,AI1,AI1,AI1,AI1,-,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2603,長榮,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
7547,碩網,-,-,AI1,AI1/AI3,AI1,AI1,AI1,-,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
7734,印能科技,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
7736,虎山,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
7728,光焱科技,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
7732,金興精密,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
7769,鴻勁,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI2,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2383,台光電,-,-,AI1,AI1/AI3,AI1,AI1,-,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
7709,榮田,-,-,AI2,AI2,AI2,AI2,AI2,AI2,AI2,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
7713,威力德生醫,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
3260,威剛,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
4114,健喬,-,-,AI1,AI1/AI3,AI1,AI1,AI1,-,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
3467,台灣精材,-,-,AI2,AI2,AI2,AI2,AI2,AI3,AI2,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
7737,凱鈿,-,-,-,-,-,AI1,-,AI1,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6597,立誠,-,-,AI2,AI2,AI2,AI2,AI2,AI2,AI2,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6850,光鼎生技,-,-,-,-,-,AI1,-,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6902,GOGOLOOK,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6918,愛派司,-,-,AI1,AI1/AI3,AI1,AI1,AI1,-,AI1/AI4,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6925,意藍,-,-,AI2,AI2,AI2,AI2,AI2,-,AI2,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
7749,意騰-KY,-,-,AI1,AI1,AI1,-,AI1,AI1,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2449,京元電子,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2345,智邦,-,-,AI1,AI1/AI3,AI1,AI1,-,AI1/AI3,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
6510,精測,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
3661,世芯-KY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2881,富邦金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2882,國泰金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2891,中信金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2884,玉山金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
3711,日月光投控,-,-,-,-,AI1,AI1,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2408,南亞科,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2360,致茂,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
3653,健策,-,-,-,AI1,AI1,AI1,AI1,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
3665,貿聯-KY,-,-,-,AI1,AI1,AI1,AI1,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
0000,台灣加權指數,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2344,華邦電,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
2337,旺宏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
3443,創意,-,-,-,AI1/AI3,AI1,AI1,AI1,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
0050,元大台灣50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
0052,富邦科技,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-07-03T14:34:50.209692+08:00
